method,ffpp_c23_acc,ffpp_c23_auc,dfdc_acc,dfdc_auc,dfr_acc,dfr_auc,celeb_dfv2_acc,celeb_dfv2_auc,wdf_acc,wdf_auc,avg_acc,avg_auc
DRIM-Net,94.80,98.14,66.15,74.72,72.08,92.03,75.40,81.95,69.97,77.96,70.90,81.66
DRIM-Net++,92.84,97.34,67.88,76.74,76.92,92.42,77.98,84.79,72.04,81.51,73.71,83.86
